company_name,contact_person_last_name,siren,siret,phone_1,postalcode,street,city,website
LA PETITE AGENCE,La Petite Agence,518156575,51815657500020,33320326060,59185,63 Rue Nationale,PROVIN,lapetiteagence-immo.fr
IMMO SUCCESS,08 Nestenn Marseille,751291824,75129182400025,33491252082,13008,172 Avenue de Mazargues,Marseille,immobilier-marseille-8.nestenn.com
ERA,Era Immo Du Parc,982120008,98212000800015,33484888404,13004,"19, rue du Maréchal Fayolle",MARSEILLE 04,erafrance.com
L'Agence Locale,L'Agence Locale,812344109,81234410900010,33240476214,44120,"5 Rue Du 11 Novembre 1918,",Vertou,lagencelocale.com
AGENCE CAPSUD IMMO,Agence Capsud Immo,892690165,89269016500014,33467329701,34410,55 Allee De La Republique,SERIGNAN,capsud-immo.com
CONDOMINIUM,CONDOMINIUM,902931229,90293122900030,33634126264,33110,5 Av. Du Général Leclerc,Le Bouscat,groupe-condominium.fr
L'AGENCE LOCALE - Nantes (ex LE REPERE IMMOBILIER),- Nantes (Ex L'Agence Locale Le Repere Immobilier),812344109,81234410900010,33285524224,44000,3 Rue Paul Bellamy,Nantes,lagencelocale.com
ABACUS FINANCE,Abacus Finance,440332260,44033226000049,33611750233,64210,TECHNOPOLE IZARBEL 416 ALLEE ANTOINE D'ABBADIE,BIDART,https://abacusfinance.com/
Sixième Avenue Dunkerque,Sixième Avenue Dunkerque,838703049,83870304900026,33602156007,59140,1 Place Roger Salengro,Dunkerque,dunkerque.stephaneplazaimmobilier.com
VIVRE ICI Ste-Luce-sur-Loire - Peslier Immobilier,Ste-Luce-Sur-Loire - Peslier Immobilier Vivre Ici,397796020,39779602000030,33251850707,44980,9 All. Des Combattants D'Afrique Du N,Sainte-Luce-Sur-Loire,vivreici.com
GBI GROUPE BEAUSEJOUR IMMOBILIER,- Couëron Beausejour Immobilier,449027143,44902714300030,33240866565,44220,2 rue Jean Jaurès,COUËRON,beausejour-immobilier.fr
GROUPE BEAUSEJOUR IMMOBILIER COUERON,Groupe Beausejour Immobilier Coueron,449027143,44902714300030,null,44220,2 Rue Jean Jaurès,Couëron,beausejour-immobilier.fr
ATLANTIC VIAGER,Atlantic Viager,830088720,83008872000040,33240151878,44500,1 Allée Du Parc De Mesemena Cs 25222,La Baule,atlanticviager.fr
TROPIS IMMOBILIER,Tropis Immobilier,812087781,81208778100025,33561468722,31400,33 Bd Griffoul Dorval,TOULOUSE,tropis-immobilier.fr
4M l'Agence,L'Agence 4M,914949532,91494953200024,null,59242,11 Rue Demesmay,TEMPLEUVE EN PEVELE,4mlagence.fr
M Concept IMMOBILIER,Concept M Immobilier,909832180,90983218000014,33670465118,74270,31 Route De Marlioz,Sallenôves,https://mconceptimmo.ch/
Reutter Invest,Reutter Invest,984852533,9848525330002,33624971629,6000,45 rue Rossini,Nice,reutterinvest.fr
APImmobilier Roussillon,Apimmobilier Roussillon,491418620,49141862000077,33481430377,38150,2 Rue Anatole France,Roussillon,api-transaction.fr
L'@GENCE E-MOBILIERE,Nestenn Saint-Lys,950773911,95077391100017,33531614070,31470,7 Pl. de la Liberté,SAINT LYS,immobilier-saint-lys.nestenn.com
GARDNER Immobilier,Immobilier Gardner,882941644,88294164400032,33646473083,13011,82 Rue De L’Audience,Marseille,gardnerimmobilier.com
Angé immobilier,Angé Immobilier,799302484,79930248400016,33478313215,69006,23 Rue Bugeaud,Lyon,immograndlyon.com
Défis Immobiliers Le Havre,Défis Immobiliers Le Havre,881329312,88132931200014,33235191616,76600,58 Place Du Chilou,Le Havre,defis-immobiliers.com
GALYO,GALYO,351155668,35115566800020,33478421564,69002,4 Rue De La Charité,Lyon,galyo.fr
Agence des Flots,Agence Des Flots,848219531,84821953100029,33240822069,44210,1 Rue De La Birochere,Pornic,https://www.agencedesflots.com/
Nestenn Saint Lys,Nestenn Saint Lys,950773911,95077391100017,33531614070,31470,7 Place De La Liberté,Saint-Lys,immobilier-saint-lys.nestenn.com
AGENCE MATHIEU,Agence Mathieu,834224644,83422464400023,null,83220,34 Avenue Gabriel Peri,Le Pradet,agencemathieu.fr
IMMO'SO,IMMO'SO,908898711,90889871100019,33676101965,33650,3 Bis Allée Des Lettres Persanes,La Brède,https://immoso.fr/en/
Agence Vancia Immobilier Rillieux-la-Pape,Agence Vancia Immobilier Rillieux-La-Pape,903405322,90340532200020,null,69140,2 Rue De L’École 69140 Rillieuxlapape,Rillieux-la-Pape,vancia-immobilier.fr
LGO IMMOBILIER,Lgo Immobilier,949366611,94936661100026,33640263463,33000,5 Route De Bordeaux Pauillac,Macau,lgo-immobilier.fr
GROUPIMMO Obernai,Obernai Groupimmo,794077727,79407772700046,33388338383,67210,26 Rue Du General Baegert,Obernai,groupimmo.pro
Carmen Verdun,Carmen Verdun,912695111,91269511100332,33559222276,64200,22 avenue de Verdun,biarritz,carmen-immobilier.com
GRISEL Immobilier,Immobilier Grisel,315348367,31534836700014,33556440607,33000,19 Cours De L'Intendance,Bordeaux,grisel-immobilier.fr
Immobilière de Croix,Immobilière De Croix,410070296,41007029600034,33320662710,59170,17 Rue Professeur Perrin,Croix,immobiliere-de-croix.com
IMBS IMMOBILIERE SERVICES,Imbs Immobiliere Services,912195781,91219578100022,null,67450,4 Rue De L’Industrie,Mundolsheim,imbs-immo.com
IMBS SERVICES,Imbs Immobiliere Services,912195781,91219578100022,33983665582,67450,4 rue de l'industrie,MUNDOLSHEIM,imbs-immo.com
TiT immobilier,Tit Immobilier,880398417,88039841700019,33450710762,74200,13 Place Jules Mercier Bp 199,Thonon-Les-Bains,tit-immobilier.com
